Instancia,Nos_Explorados,Cortes_Realizados,Nos_Ignorados,Lower_Bound,Seed,N_Bins,Tempo_Nanosegundos,Tempo_Segundos,Tempo_Minutos
BPP_50_50_0.1_0.7_0.txt,0,0,0,2,0,23,29300,0,0
BPP_50_50_0.1_0.7_1.txt,0,0,0,2,0,21,29600,0,0
BPP_50_50_0.1_0.7_2.txt,0,0,0,2,0,21,30800,0,0
BPP_50_50_0.1_0.7_3.txt,2831926,4907665,2512613,2,0,21,14593161400,14,0
BPP_50_50_0.1_0.7_4.txt,0,0,0,2,0,24,32000,0,0
BPP_50_50_0.1_0.7_5.txt,0,0,0,2,0,19,30000,0,0
BPP_50_50_0.1_0.7_6.txt,0,0,0,2,0,20,39200,0,0
BPP_50_50_0.1_0.7_7.txt,14190243,38520430,40483605,2,0,23,125725082600,125,2
BPP_50_50_0.1_0.7_8.txt,0,0,0,2,0,22,49700,0,0
BPP_50_50_0.1_0.7_9.txt,0,0,0,2,0,22,45700,0,0
BPP_50_50_0.1_0.8_0.txt,0,0,0,2,0,24,44700,0,0
BPP_50_50_0.1_0.8_1.txt,0,0,0,2,0,28,38200,0,0
BPP_50_50_0.1_0.8_2.txt,0,0,0,2,0,25,36200,0,0
BPP_50_50_0.1_0.8_3.txt,1644498,4140887,155652,2,0,21,11874206900,11,0
BPP_50_50_0.1_0.8_4.txt,39888,69211,7115,2,0,24,349359300,0,0
BPP_50_50_0.1_0.8_5.txt,0,0,0,2,0,25,33100,0,0
BPP_50_50_0.1_0.8_6.txt,0,0,0,2,0,23,37300,0,0
BPP_50_50_0.1_0.8_7.txt,0,0,0,2,0,25,40100,0,0
BPP_50_50_0.1_0.8_8.txt,220,590,269,2,0,23,1573000,0,0
BPP_50_50_0.1_0.8_9.txt,0,0,0,2,0,24,32100,0,0
BPP_50_50_0.2_0.7_0.txt,0,0,0,2,0,22,38700,0,0
BPP_50_50_0.2_0.7_1.txt,0,0,0,2,0,25,32700,0,0
BPP_50_50_0.2_0.7_2.txt,7865991,24302178,6939754,2,0,22,74664408900,74,1
BPP_50_50_0.2_0.7_3.txt,0,0,0,2,0,22,37300,0,0
BPP_50_50_0.2_0.7_4.txt,688595724,1727851713,874816621,2,0,25,7260000048400,7260,121
BPP_50_50_0.2_0.7_5.txt,722110532,1926062736,1576601147,2,0,24,7260000038900,7260,121
BPP_50_50_0.2_0.7_6.txt,0,0,0,2,0,22,29600,0,0
BPP_50_50_0.2_0.7_7.txt,0,0,0,2,0,26,30800,0,0
BPP_50_50_0.2_0.7_8.txt,0,0,0,2,0,26,39100,0,0
BPP_50_50_0.2_0.7_9.txt,0,0,0,2,0,25,30400,0,0
BPP_50_50_0.2_0.8_0.txt,0,0,0,2,0,24,31500,0,0
BPP_50_50_0.2_0.8_1.txt,0,0,0,2,0,25,38100,0,0
BPP_50_50_0.2_0.8_2.txt,0,0,0,2,0,28,37400,0,0
BPP_50_50_0.2_0.8_3.txt,0,0,0,2,0,27,39600,0,0
BPP_50_50_0.2_0.8_4.txt,0,0,0,2,0,29,39400,0,0
BPP_50_50_0.2_0.8_5.txt,0,0,0,2,0,25,38300,0,0
BPP_50_50_0.2_0.8_6.txt,0,0,0,2,0,27,34200,0,0
BPP_50_50_0.2_0.8_7.txt,740036872,740023112,357261165,2,0,27,7260000040500,7260,121
BPP_50_50_0.2_0.8_8.txt,0,0,0,2,0,29,38900,0,0
BPP_50_50_0.2_0.8_9.txt,0,0,0,2,0,30,35800,0,0
