Instancia,Nos_Explorados,Cortes_Realizados,Nos_Ignorados,Lower_Bound,Seed,N_Bins,Tempo_Nanosegundos,Tempo_Segundos,Tempo_Minutos
Falkenauer_t60_00.txt,419537922,1966100869,3170802,2,0,20,3133130100800,3133,52
Falkenauer_t60_01.txt,29523121,195352883,55376,2,0,20,226386852100,226,3
Falkenauer_t60_02.txt,1666322,13056763,3203413,2,0,20,14039381000,14,0
Falkenauer_t60_03.txt,210509,1276751,0,2,0,20,1681487100,1,0
Falkenauer_t60_04.txt,622476377,5766727350,1481860,2,0,20,5774811549300,5774,96
Falkenauer_t60_05.txt,332164885,3106041009,306080,2,0,20,3081371357400,3081,51
Falkenauer_t60_06.txt,894819040,5846695820,925203,2,0,21,7260000080700,7260,121
Falkenauer_t60_07.txt,883075719,7090516410,10181963,2,0,21,7260000067400,7260,121
Falkenauer_t60_08.txt,107106193,694263803,20983687,2,0,20,809995750100,809,13
Falkenauer_t60_09.txt,257007388,1239551821,41732,2,0,20,1798322193900,1798,29
Falkenauer_t60_10.txt,494766023,2712079457,0,2,0,20,3731713239800,3731,62
Falkenauer_t60_11.txt,1731695,13394014,1731533,2,0,20,14146225600,14,0
Falkenauer_t60_12.txt,1012808054,4431009099,0,2,0,21,7260000088400,7260,121
Falkenauer_t60_13.txt,988839,9373596,0,2,0,20,9529466000,9,0
Falkenauer_t60_14.txt,9646779,62915793,67509,2,0,20,79561834700,79,1
Falkenauer_t60_15.txt,7655540,69287635,283238,2,0,20,69907739700,69,1
Falkenauer_t60_16.txt,350757,3016465,3661,2,0,20,3091868300,3,0
Falkenauer_t60_17.txt,7753798,59401387,121978,2,0,20,69401376500,69,1
Falkenauer_t60_18.txt,59010159,481522600,2404,2,0,20,508765445900,508,8
Falkenauer_t60_19.txt,1061284,7695880,2007820,2,0,20,8397503900,8,0
